Country_State,Site,Component,Name_Nearest_City, Count_Building_Owned , Building_Owned_SqFt , Count_Bldgs_Leased ,Bldgs_Leased_SqFt, Count_Bldgs_Other , Bldgs_Other_SqFt , Acres_Owned , Total_Acres ,Plant_Replacement_Value_M,Latitude,Longitude,Lat_Long_Sources
Nevada,Hawthorne Army Depot,Army Active,Hawthorne,"2,469","9,627,588",0,0,0,0,"9,565.42","147,316.65","$13,000.08",38.58223235,-118.6578217,US_Base_Project_BSR-FY24_Lat-Long
Nevada,NAS FALLON NV,Navy Active,Fallon,298,"2,220,801",0,0,87,"240,476","14,621.41","22,387.12","$3,524.50",39.4213686,-118.7204698,US_Base_Project_BSR-FY24_Lat-Long
Nevada,NELLIS NTTR PL106 65,Air Force Active,Warm Springs,58,"136,944",0,0,0,0,397.39,"2,951,120.39","$1,487.24",37.526667,-116.198056,US_Base_Project_BSR-FY24_Lat-Long
Nevada,NELLIS SITE 1,Air Force Active,Nellis Afb,651,"7,221,301",0,0,755,"1,652,669","5,196.40","5,236.40","$10,573.89",36.2448129,-115.0568076,US_Base_Project_BSR-FY24_Lat-Long
Nevada,NELLIS SMALL ARMS RANGE ANNEX SITE 1,Air Force Active,North Las Vegas,0,0,0,0,0,0,"10,595.00","10,623.00",$40.76,36.32337053,-115.0319566,US_Base_Project_BSR-FY24_Lat-Long
Nevada,NELLIS WATER SYSTEM ANNEX SITE 1,Air Force Active,North Las Vegas,1,147,0,0,1,"19,200",104.00,107.00,$30.24,36.26006235,-115.0557149,US_Base_Project_BSR-FY24_Lat-Long
Nevada,RENO TAHOE INTL AIRPORT SITE 1,Air National Guard,Reno,27,"371,975",0,0,0,0,0.00,60.19,$700.13,39.5072707,-119.7754382,US_Base_Project_BSR-FY24_Lat-Long
Nevada,SILVER CREEK RANCH,Navy Active,Fallon,2,"1,500",0,0,0,0,0.00,40.26,$15.88,39.3541,-118.4814,DeepSeek
Nevada,TARGET B-16,Navy Active,Fallon,1,480,0,0,0,0,0.00,"27,306.49",$68.59,39.86255145,-118.361853,US_Base_Project_BSR-FY24_Lat-Long
Nevada,TARGET B-17,Navy Active,Fallon,3,"4,544",0,0,0,0,0.00,"52,911.21",$56.25,39.86255145,-118.361853,US_Base_Project_BSR-FY24_Lat-Long
Nevada,TARGET B-19,Navy Active,Fallon,7,"5,880",0,0,0,0,0.00,"29,276.40",$68.19,39.86255145,-118.361853,US_Base_Project_BSR-FY24_Lat-Long
Nevada,TARGET B-20,Navy Active,Fallon,3,554,0,0,0,0,"19,429.35","41,175.72",$104.90,39.86255145,-118.361853,US_Base_Project_BSR-FY24_Lat-Long
Nevada,TONOPAH AFS Z164 SITE 1,Air Force Active,Tonopah,17,"38,431",0,0,0,0,3.66,47.13,$32.12,38.051667,-117.225556,US_Base_Project_BSR-FY24_Lat-Long
Nevada,TONOPAH AUXILIARY AIRFIELD ANNEX 2 SITE 1,Air Force Active,Tonopah,93,"782,042",0,0,0,0,0.00,109.00,$601.43,38.03064424,-117.0335242,US_Base_Project_BSR-FY24_Lat-Long
Nevada,TONOPAH AUXILIARY AIRFIELD ANNEX SITE 1,Air Force Active,Tonopah,148,"1,651,480",0,0,0,0,0.00,"2,157.00","$2,542.09",38.055278,-117.088611,US_Base_Project_BSR-FY24_Lat-Long
Nevada,WARM SPRINGS STG SITE 1,Air Force Active,Tonopah,5,"24,000",0,0,0,0,0.00,336.00,$19.09,38.06843063,-117.2313369,US_Base_Project_BSR-FY24_Lat-Long
New Hampshire,Londonderry NH AFRC,Army Reserve,Londonderry,4,"137,329",0,0,0,0,47.64,47.64,$129.80,39.1373858,-77.2078897,US_Base_Project_BSR-FY24_Lat-Long
New Hampshire,NEW BOSTON SPACE FORCE STATION,US Space Force Active,New Boston,26,"127,359",0,0,0,0,"2,826.00","2,873.00",$177.27,42.93705445,-71.64036952,US_Base_Project_BSR-FY24_Lat-Long
New Hampshire,NEWINGTON DEFENSE FUEL SUPPORT POINT SITE 1,Air Force Active,Newington Station,3,"3,680",0,0,0,0,12.87,17.72,$348.57,43.1067227,-70.80235192,US_Base_Project_BSR-FY24_Lat-Long
New Hampshire,PEASE ANGB NEWHAMPSHIRE SITE 1,Air National Guard,Portsmouth,46,"562,915",0,0,1,"3,000",214.50,214.50,$739.32,43.08928465,-70.81947394,US_Base_Project_BSR-FY24_Lat-Long
New Hampshire,Somersworth Usarc,Army Reserve,Somersworth,3,"56,045",0,0,0,0,14.50,14.50,$47.06,43.23951048,-70.89729073,US_Base_Project_BSR-FY24_Lat-Long
